tematica;nombre_capa;descripcion_capa;ultima_actualizacion_reportada;fuente
_4_Suelos;_4_1_Capacidad_de_Suelos_Cuenca_Rio_Sumapaz;"Información Cartográfica Del Estudio Semi-Detallado De Suelos, Generado Por Parte Del Instituto Geográfico Agustín Codazzi Igac. Para La Cuenca Del Río Sumapaz.

Información Cartográfica Del Estudio Semi-Detallado De Suelos, Generado Por Parte Del Instituto Geográfico Agustín Codazzi Igac. Para La Cuenca Del Río Sumapaz. La Clasificación De Tierras Por Su Capacidad De Uso Consiste En El Agrupamiento De Las Unidades Cartográficas De Suelos, Fundamentada En Los Efectos Combinados De Clima Y Limitaciones Permanentes O Poco Modificables De Los Suelos, Con El Fin De Establecer Sus Posibilidades De Uso, La Capacidad De Producción, El Riesgo De Deterioro Del Suelo Y Requerimientos De Manejo.";2022-08-16;Corporación Autónoma Regional de Cundinamarca
_4_Suelos;_4_2_Zonificacion_de_Degradacion_de_Suelos_por_Erosion;"Zonificación De Degradación De Suelos Por Erosión A Escala 1:25.000 En La Jurisdicción De La Car.

Zonificación De Degradación De Suelos Por Erosión A Escala 1:25.000 En La Jurisdicción De La Car.

Protocolo Para Monitoreo De La Degradación De Suelos Por Erosión A Escala 1:25.000 En La Jurisdicción Car, Vol. I. Diagnóstico Y Zonificación De La Degradación De Suelos Por Erosión A Escala 1:25.000 Y Protocolo Para Monitoreo De La Degradación De Suelos Por Erosión A Escala 1:25.000 En La Jurisdicción Car.

Este Documento Es El Resultado Del Contrato No. 2018 De 2019 Entre Car Y Grp Sas Con El Fin De Realizar El Diagnóstico Y Zonificación De La Degradación De Suelos Por Erosión A Escala 1:25.000 Y Protocolo Para Monitoreo De La Degradación De Suelos Por Erosión A Escala 1:25.000 En La Jurisdicción Car, En El Marco De La Implementación De La Política Para La Gestión Sostenible Del Suelo.";2022-06-09;Corporación Autónoma Regional de Cundinamarca
_4_Suelos;_4_3_Capacidad_de_Suelos_Cuenca_Rio_Negro;"Información Cartográfica Del Estudio Semi-Detallado De Suelos, Generado Por Parte Del Instituto Geográfico Agustín Codazzi Igac. Para La Cuenca Del Río Negro.

Información Cartográfica Del Estudio Semi-Detallado De Suelos, Generado Por Parte Del Instituto Geográfico Agustín Codazzi Igac. Para La Cuenca Del Río Negro. La Clasificación De Tierras Por Su Capacidad De Uso Consiste En El Agrupamiento De Las Unidades Cartográficas De Suelos, Fundamentada En Los Efectos Combinados De Clima Y Limitaciones Permanentes O Poco Modificables De Los Suelos, Con El Fin De Establecer Sus Posibilidades De Uso, La Capacidad De Producción, El Riesgo De Deterioro Del Suelo Y Requerimientos De Manejo.";2019-01-18;Corporación Autónoma Regional de Cundinamarca
_4_Suelos;_4_4_Suelos_Cuenca_Rio_Sumapaz;"Información Cartográfica Del Estudio Semi-Detallado De Suelos, Generado Por Parte Del Instituto Geográfico Agustín Codazzi Igac. Para La Cuenca Del Río Sumapaz.

Información Cartográfica Del Estudio Semi-Detallado De Suelos, Generado Por Parte Del Instituto Geográfico Agustín Codazzi Igac. Para La Cuenca Del Río Sumapaz. Contiene La Descripción De Las Unidades Cartográficas De Suelos (Ucs) Resultado Del Levantamiento Agrológico De Tipo Semidetallado En La Cuenca Hidrográfica Del Río Sumapaz";2022-08-16;Corporación Autónoma Regional de Cundinamarca
_4_Suelos;_4_5_Zonificacion_de_Degradacion_de_Suelos_por_Salinizacion_en_la_Jurisdiccion_CAR;"Zonificación De Degradación De Suelos Por Salinización En La Jurisdicción Car

Zonificación De La Línea Base De Degradación De Suelos Por Salinización A Escalas Regional Y Local Para La Jurisdicción Car. Elaborado En 2017 A Escala 1:25.000";2022-06-09;Corporación Autónoma Regional de Cundinamarca
_4_Suelos;_4_6_Suelos_Cuenca_Rio_Negro;"Información Cartográfica Del Estudio Semi-Detallado De Suelos, Generado Por Parte Del Instituto Geográfico Agustín Codazzi Igac. Para La Cuenca Del Río Negro

Información Cartográfica Del Estudio Semi-Detallada De Suelos, Generado Por Parte Del Instituto Geográfico Agustín Codazzi Igac. Para La Cuenca Del Río Negro. Contiene La Descripción De Las Unidades Cartográficas De Suelos (Ucs) Resultado Del Levantamiento Agrológico De Tipo Semidetallado En La Cuenca Hidrográfica Del Rio Negro";2019-01-18;Corporación Autónoma Regional de Cundinamarca
_4_Suelos;_4_7_Suelos_Reserva_Norte_Van_Der_Hammen;Suelos Zona De Reserva Norte Van Der Hammen A Escala 1:10000;2018-01-06;Corporación Autónoma Regional de Cundinamarca
_14_Ecosistema;_14_9_Bosque_Seco_Tropical;La Capa De Las Zonas De Bosque Seco Tropical A Escala 1:100.000 Muestra Los Límites Espaciales De La Delimitación De Las Áreas Identificadas Como Bosque Seco Tropical. Se Realizan Actualizaciones Mensuales Según Necesidad En Cabeza De La Dirección De Bosques, Biodiversidad Y Servicios Ecosistémicos - Dbbse. Cubre Toda La Extensión Continental Del Territorio Colombiano, En Donde Se Encuentran Las Zonas Bosque Seco Tropical.;2020-09-09;Ministerio de Ambiente y Desarrollo Sostenible
_2_Cambio_Climatico;_2_1_Cambio_en_la_escorrentia_total_anual_multiescenario_2011_2040_RCP_4_5_1981_2010;"Análisis De La Vulnerabilidad Territorial Ante El Cambio Climático - Cambio En La Escorrentía Total Anual. Multiescenario 2011-2040 Rcp 4.5 - 1981-2010

Análisis De La Vulnerabilidad Territorial Ante El Cambio Climático - Cambio En La Escorrentía Total Anual. Multiescenario 2011-2040 Rcp 4.5 - 1981-2010.

Propuesta Metodológica Para Los Entes Territoriales De La Jurisdicción Car.

Mayor Información En Https://Www.Car.Gov.Co/Vercontenido/3688";2020-01-21;Corporación Autónoma Regional de Cundinamarca
_2_Cambio_Climatico;_2_2_Cambio_en_la_precipitacion_total_anual_multiescenario_2011_2040_RCP_8_5_1981_2010;Análisis De La Vulnerabilidad Territorial Ante El Cambio Climático - Cambio En La Precipitación Total Anual. Multiescenario 2011-2040 Rcp 8.5 - 1981-2010;2020-01-21;Corporación Autónoma Regional de Cundinamarca
