nombre_municipio;codigo_municipio;poblacion_rural_2021;poblacion_urbana_2021;total_2021
Bogotá;11001;29507;7804660;7834167
Buenavista;15109;3586;841;4427
Caldas;15131;2850;298;3148
Chiquinquirá;15176;6891;51465;58356
Ráquira;15600;5476;2609;8085
Saboyá;15632;12766;1181;13947
San Miguel de Sema;15676;2574;458;3032
Agua de Dios;25001;2628;10185;12813
Albán;25019;5031;2121;7152
Anapoima;25035;9334;7368;16702
Anolaima;25040;10117;5039;15156
Apulo;25599;4936;4158;9094
Arbeláez;25053;6226;5168;11394
Beltrán;25086;1491;469;1960
Bituima;25095;2101;569;2670
Bojacá;25099;2079;9456;11535
Cabrera;25120;3887;1376;5263
Cachipay;25123;6896;4232;11128
Cajicá;25126;28967;67711;96678
Caparrapí;25148;9732;3774;13506
Carmen de Carupa;25154;5568;2687;8255
Chaguaní;25168;3353;1184;4537
Chía;25175;25338;130203;155541
Chocontá;25183;10027;13136;23163
Cogua;25200;15556;9848;25404
Cota;25214;12620;25849;38469
Cucunubá;25224;7027;1558;8585
El Colegio;25245;14621;12595;27216
El Peñón;25258;4179;800;4979
El Rosal;25260;2290;23467;25757
Facatativá;25269;10931;151274;162205
Funza;25286;1822;107459;109281
Fúquene;25288;5048;370;5418
Fusagasugá;25290;21575;138721;160296
Gachancipá;25295;5824;14326;20150
Girardot;25307;3908;110244;114152
Granada;25312;5810;2436;8246
Guachetá;25317;7747;7060;14807
Guaduas;25320;17406;17125;34531
Guataquí;25324;1498;1384;2882
Guatavita;25326;4322;2760;7082
Guayabal de Síquima;25328;3631;1300;4931
Jerusalén;25368;1475;932;2407
La Calera;25377;17276;16948;34224
La Mesa;25386;16541;21023;37564
La Palma;25394;5444;4756;10200
La Peña;25398;5017;1320;6337
La Vega;25402;11511;7871;19382
Lenguazaque;25407;7709;3514;11223
Machetá;25426;4517;2010;6527
Madrid;25430;6334;125880;132214
Manta;25436;2811;1237;4048
Mosquera;25473;1956;154724;156680
Nariño;25483;692;1870;2562
Nemocón;25486;7345;7764;15109
Nilo;25488;8728;3780;12508
Nimaima;25489;2975;937;3912
Nocaima;25491;4473;2350;6823
Pacho;25513;11711;15117;26828
Paime;25518;3772;677;4449
Pandi;25524;4140;1406;5546
Pasca;25535;6582;3426;10008
Puerto Salgar;25572;4332;13001;17333
Pulí;25580;2705;870;3575
Quebradanegra;25592;4476;647;5123
Quipile;25596;5867;929;6796
Ricaurte;25612;6225;8716;14941
San Antonio del Tequendama;25645;11836;1503;13339
San Bernardo;25649;5135;4206;9341
San Cayetano;25653;4293;883;5176
San Francisco;25658;6897;5417;12314
San Juan de Río Seco;25662;5369;3507;8876
Sasaima;25718;8695;3284;11979
Sesquilé;25736;8681;4466;13147
Sibaté;25740;10182;27932;38114
Silvania;25743;15678;8744;24422
Simijaca;25745;5468;9152;14620
Soacha;25754;4528;779104;783632
Sopó;25758;8081;22076;30157
Subachoque;25769;8281;9127;17408
Suesca;25772;10012;9473;19485
Supatá;25777;3772;1991;5763
Susa;25779;4547;2801;7348
Sutatausa;25781;4270;2427;6697
Tabio;25785;16899;8273;25172
Tausa;25793;7080;1918;8998
Tena;25797;9870;1079;10949
Tenjo;25799;13810;11243;25053
Tibacuy;25805;4067;756;4823
Tibirita;25807;2749;666;3415
Tocaima;25815;6120;11151;17271
Tocancipá;25817;27314;20225;47539
Topaipí;25823;3536;918;4454
Útica;25851;1879;2731;4610
Venecia;25506;3153;1473;4626
Vergara;25862;5887;1565;7452
Vianí;25867;3064;1788;4852
Villa de San Diego de Ubate;25843;10712;38062;48774
Villagómez;25871;1175;724;1899
Villapinzón;25873;11298;7867;19165
Villeta;25875;8956;21329;30285
Viotá;25878;9235;5194;14429
Yacopí;25885;9446;3617;13063
Zipacón;25898;3647;1574;5221
Zipaquirá;25899;24464;127731;152195
