codigo_capa,codigo_municipio,RID
1,9,1
3,9,2
5,9,3
7,9,4
8,9,5
9,9,6
16,9,7
18,9,8
20,9,9
22,9,10
25,9,11
27,9,12
28,9,13
29,9,14
32,9,15
33,9,16
34,9,17
35,9,18
36,9,19
37,9,20
38,9,21
39,9,22
40,9,23
41,9,24
42,9,25
44,9,26
45,9,27
46,9,28
47,9,29
48,9,30
49,9,31
50,9,32
51,9,33
52,9,34
53,9,35
54,9,36
55,9,37
56,9,38
57,9,39
58,9,40
59,9,41
60,9,42
61,9,43
62,9,44
63,9,45
64,9,46
65,9,47
66,9,48
67,9,49
68,9,50
69,9,51
70,9,52
71,9,53
73,9,54
76,9,55
77,9,56
78,9,57
79,9,58
80,9,59
81,9,60
84,9,61
89,9,62
95,9,63
100,9,64
107,9,65
108,9,66
109,9,67
110,9,68
111,9,69
112,9,70
113,9,71
114,9,72
115,9,73
116,9,74
117,9,75
120,9,76
121,9,77
122,9,78
123,9,79
125,9,80
126,9,81
127,9,82
128,9,83
130,9,84
131,9,85
133,9,86
134,9,87
135,9,88
141,9,89
143,9,90
146,9,91
147,9,92
149,9,93
150,9,94
155,9,95
157,9,96
159,9,97
1,2,98
3,2,99
5,2,100
7,2,101
8,2,102
9,2,103
16,2,104
18,2,105
20,2,106
25,2,107
27,2,108
35,2,109
38,2,110
39,2,111
40,2,112
41,2,113
45,2,114
46,2,115
47,2,116
48,2,117
49,2,118
50,2,119
51,2,120
52,2,121
53,2,122
54,2,123
55,2,124
56,2,125
57,2,126
58,2,127
59,2,128
60,2,129
61,2,130
62,2,131
63,2,132
64,2,133
65,2,134
66,2,135
67,2,136
68,2,137
69,2,138
70,2,139
71,2,140
76,2,141
77,2,142
78,2,143
79,2,144
81,2,145
82,2,146
83,2,147
84,2,148
88,2,149
89,2,150
92,2,151
107,2,152
108,2,153
109,2,154
110,2,155
111,2,156
112,2,157
113,2,158
114,2,159
115,2,160
116,2,161
117,2,162
120,2,163
121,2,164
122,2,165
123,2,166
126,2,167
128,2,168
129,2,169
131,2,170
132,2,171
134,2,172
135,2,173
143,2,174
147,2,175
149,2,176
150,2,177
151,2,178
154,2,179
157,2,180
1,3,181
3,3,182
5,3,183
7,3,184
8,3,185
9,3,186
16,3,187
18,3,188
20,3,189
22,3,190
25,3,191
27,3,192
30,3,193
31,3,194
36,3,195
38,3,196
39,3,197
40,3,198
41,3,199
45,3,200
46,3,201
47,3,202
48,3,203
49,3,204
50,3,205
51,3,206
52,3,207
53,3,208
54,3,209
55,3,210
56,3,211
57,3,212
58,3,213
59,3,214
60,3,215
61,3,216
62,3,217
63,3,218
64,3,219
65,3,220
66,3,221
67,3,222
68,3,223
69,3,224
70,3,225
71,3,226
72,3,227
73,3,228
78,3,229
79,3,230
80,3,231
81,3,232
84,3,233
89,3,234
94,3,235
99,3,236
104,3,237
106,3,238
107,3,239
108,3,240
109,3,241
110,3,242
111,3,243
112,3,244
113,3,245
114,3,246
115,3,247
116,3,248
117,3,249
119,3,250
120,3,251
121,3,252
122,3,253
123,3,254
125,3,255
126,3,256
128,3,257
131,3,258
134,3,259
135,3,260
147,3,261
149,3,262
150,3,263
157,3,264
1,4,265
3,4,266
5,4,267
7,4,268
8,4,269
9,4,270
16,4,271
18,4,272
20,4,273
25,4,274
27,4,275
30,4,276
38,4,277
39,4,278
40,4,279
41,4,280
45,4,281
46,4,282
47,4,283
48,4,284
49,4,285
50,4,286
51,4,287
52,4,288
53,4,289
54,4,290
55,4,291
56,4,292
57,4,293
58,4,294
59,4,295
60,4,296
61,4,297
62,4,298
63,4,299
64,4,300
65,4,301
66,4,302
