codigo_cuenca,codigo_municipio,RID
2119,9,1
2119,10,2
2119,11,3
2119,12,4
2119,13,5
2119,14,6
2120,9,7
2120,10,8
2120,11,9
2120,12,10
2120,13,11
2120,14,12
3502,9,13
3502,10,14
3502,11,15
3502,12,16
3502,13,17
3502,14,18
2119,1,19
2120,1,20
2119,6,21
3502,6,22
2119,37,23
2119,50,24
2120,50,25
2119,56,26
2119,59,27
2120,59,28
2119,78,29
2120,78,30
2119,121,31
2119,83,32
2119,84,33
2120,84,34
3502,84,35
2119,90,36
2120,90,37
2119,92,38
2120,92,39
2119,93,40
3502,93,41
2119,100,42
2120,100,43
2119,101,44
2120,101,45
2119,103,46
2120,103,47
2119,114,48
2120,114,49
2119,116,50
2120,116,51
2123,116,52
2119,127,53
2120,127,54
2120,15,55
2120,16,56
2120,17,57
2120,18,58
2120,19,59
2120,20,60
2120,21,61
2120,22,62
2120,23,63
2120,24,64
2120,25,65
2120,26,66
2120,27,67
2120,28,68
2120,29,69
2120,30,70
2120,31,71
2120,32,72
2120,33,73
2120,34,74
2120,2,75
2306,2,76
2120,3,77
2123,3,78
2120,4,79
2306,4,80
2120,8,81
2123,8,82
2306,8,83
2120,35,84
2120,38,85
2120,39,86
2120,42,87
2312,42,88
2401_01,42,89
2120,44,90
2120,46,91
2401_01,46,92
3507,46,93
2120,47,94
2306,47,95
2120,48,96
2120,49,97
2401_01,49,98
2120,52,99
2306,52,100
2120,53,101
2306,53,102
2120,54,103
2120,57,104
2120,58,105
2123,58,106
2120,63,107
3506,63,108
3507,63,109
2120,64,110
2306,64,111
2120,65,112
2123,65,113
2120,66,114
3502,66,115
3506,66,116
2120,67,117
2123,67,118
2120,70,119
2306,70,120
2120,71,121
2401_01,71,122
3507,71,123
2120,72,124
3506,72,125
3507,72,126
2120,73,127
2120,75,128
2120,76,129
2123,76,130
2120,77,131
2120,81,132
2306,81,133
2312,81,134
2120,88,135
2123,88,136
2306,88,137
2120,5,138
2123,5,139
2120,95,140
2306,95,141
2120,98,142
2306,98,143
2120,99,144
3506,99,145
3507,99,146
2120,104,147
2120,105,148
2306,105,149
2120,106,150
2401_01,106,151
2120,107,152
2306,107,153
2120,110,154
2120,111,155
2306,111,156
2312,111,157
2401_01,111,158
2120,112,159
2120,113,160
2120,117,161
2120,125,162
2401_01,125,163
3507,125,164
2120,129,165
2120,130,166
2306,130,167
2123,7,168
2123,41,169
2306,41,170
2123,43,171
2306,43,172
2123,61,173
2306,61,174
2123,62,175
2123,85,176
2306,85,177
2123,86,178
2123,96,179
2306,96,180
2123,123,181
2306,123,182
2306,51,183
2306,68,184
2306,69,185
2306,79,186
2306,80,187
2306,87,188
2306,94,189
2312,94,190
2306,118,191
2312,118,192
2306,120,193
2306,122,194
2306,124,195
2312,124,196
2306,126,197
2306,128,198
2312,128,199
2312,36,200
2401_01,36,201
2312,40,202
2401_01,40,203
2312,45,204
2401_01,45,205
2401_02,45,206
2312,91,207
2401_01,91,208
2401_02,91,209
2312,82,210
2312,102,211
2401_01,102,212
2401_01,89,213
2401_02,89,214
2401_01,97,215
2401_02,97,216
2401_01,55,217
2401_01,60,218
3507,60,219
2401_01,108,220
2401_01,109,221
2401_01,119,222
3506,74,223
3507,74,224
3507,115,225
